Removed Pin From Net: NetName=VCC_BATT_FILT Pin=Cbulk1_1-1
Removed Pin From Net: NetName=GND Pin=Cbulk1_1-2
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=Cbulk1_2-1
Removed Pin From Net: NetName=GND Pin=Cbulk1_2-2
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=Cin1_1-1
Removed Pin From Net: NetName=GND Pin=Cin1_1-2
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=Cin1_2-1
Removed Pin From Net: NetName=GND Pin=Cin1_2-2
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=Cin_1_1-1
Removed Pin From Net: NetName=GND Pin=Cin_1_1-2
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=Cin_1_2-1
Removed Pin From Net: NetName=GND Pin=Cin_1_2-2
Removed Member From Class: ClassName=1 Member=Cbulk1_1
Removed Member From Class: ClassName=2 Member=Cbulk1_2
Removed Member From Class: ClassName=1 Member=Cin1_1
Removed Member From Class: ClassName=2 Member=Cin1_2
Removed Member From Class: ClassName=1 Member=Cin_1_1
Removed Member From Class: ClassName=2 Member=Cin_1_2
Added Member To Class: ClassName=C2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C3_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C10_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C11_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C12_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C13_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_1_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_1_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_2_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_2_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_3_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_3_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_4_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Cbulk_4_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Designator_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Df1_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Df1_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=M1_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=M1_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=P1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Q1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Q_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=R8_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Ruvt1_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Ruvt1_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Rvisns1_1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Rvisns1_2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=TP2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=U2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=U3_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=U4_Nets Member=Wire VCC_BATT_FILT
