Comment,Description,Designator,Footprint,LibRef,Quantity

"100nF","CAP 100nF 100V ±10% 0603 (1608 Metric) Thickness 1mm SMD","C1, C9","CAPC0603(1608)100_L","CMP-1035-02595-1","2"
"4.7uF","CAP 4.7uF 35V ±10% 1206 (3216 Metric) Thickness 1.9mm SMD","C2, C3, C5, C12, C13, C17","CAPC1206(3216)190_L","CMP-1037-04922-1","6"
"75pF","CAP 75pF 25V ±1% 0603 (1608 Metric) Thickness 1mm SMD","C4","CAPC0603(1608)100_L","CMP-1035-01189-1","1"
"47uF","CAP 47uF 16V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD","C6, C19","CAPC1206(3216)190_L","CMP-1037-05003-1","2"
"1uF 25V","CAP 1uF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD","C7, C21","CAPC0603(1608)100_L","CMP-1035-02740-1","2"
"30pF","CAP 30pF 50V ±10% 0603 (1608 Metric) Thickness 1mm SMD","C15","CAPC0603(1608)100_L","CMP-1035-00915-1","1"
"C1608X7R1H334K080AC","Multilayer Ceramic Capacitors 330nF ±10% 50V X7R SMD 0603","C22, C60","FP-C1608-080-0_1-IPC_A","CMP-2000-07551-2","2"
"CGA3E2X7R1H104K080AA","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R","C23, C61","FP-CGA3E-0_3-0_1-IPC_A","CMP-2000-07546-2","2"
"12101C225KAT2A","General Purpose Ceramic Capacitor, 1210, 2.2uF, 10%, X7R, 15%, 100V","C24, C25, C26, C27, C28, C42, C43, C44, C45, C46","FP-1210-L_3_3_0_4-W_2_5_0-IPC_B","CMP-1038-02104-3","10"
"GRM32ER71H106KA12L","CAP CER 10UF 50V X7R 1210","C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56","FP-GRM32-MFG","CMP-2000-05261-2","20"
"GRM188R71E473KA01D","47nF 0603","C39, C57","CAPC1608X90X35LL10T15","CMP-2006-02884-1","2"
"C1608C0G1H560J080AA","Multilayer Ceramic Capacitors 56pF ±5% 50V C0G SMD 0603","C40, C58","FP-C1608-080-0_1-IPC_C","CMP-08246-005165-1","2"
"GRM188R72A472KA01D","4700pF 0603","C41, C59","CAPC1608X90X35ML10T15","CMP-2006-02483-1","2"
"CC0603KRX7R9BB104","CAP CER 0.1UF 50V X7R 0603","C62, C70, C71, C72","FP-CC0603-DA-MFG","CMP-2100-03601-2","4"
"CL10A226MPCNUBE","Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R","C63, C64, C66, C67, C68, C69","FP-CL10-IPC_B","CMP-13271-003290-1","6"
"C0603C224K8NACTU","220nF 0603","C65","CAPC1608X87X35NL15T15","CMP-2006-03148-1","1"
"CC0603KRX7R7BB105","CAP CER 1UF 16V X7R 0603","C73","FP-CC0603-DA-MFG","CMP-03422-000924-1","1"
"LED RED","led
 LTST-C171KRKT","D1","C0805","LED0","1"
"LED GREEN","led","D2, D3, D4, D5, D6, D7, D8, D11","LED_0805","LED0","8"
