Altium Designer Pick and Place Locations
Y:\Documents\GitHub\TAUV-Hardware\TAUV- Powerboard_22-23\TAUV-Regulated_Power\Project Outputs for TAUV-Regulated_Power\Pick Place\Pick Place for TAUV-Regulated_Power_board.txt

========================================================================================================================
File Design Information:

Date:       03/07/23
Time:       12:35
Revision:   f398488b45c8aa979864fba1524f6648f3fc89cd
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                        
C78        47nF                                BottomLayer CAPC1608X90X35LL10T15            183.1340     135.1280     0        "47nF 0603"                                                                                        
C77        47nF                                BottomLayer CAPC1608X90X35LL10T15            183.1340     132.6185     0        "47nF 0603"                                                                                        
C76        47nF                                TopLayer    CAPC1608X90X35LL10T15            182.1180     95.6310      270      "47nF 0603"                                                                                        
C75        47nF                                TopLayer    CAPC1608X90X35LL10T15            105.2830     92.3290      270      "47nF 0603"                                                                                        
C74        47nF                                BottomLayer CAPC1608X90X35LL10T15            183.1340     112.5220     0        "47nF 0603"                                                                                        
C20        47nF                                BottomLayer CAPC1608X90X35LL10T15            183.1340     58.7775      0        "47nF 0603"                                                                                        
C14        47nF                                BottomLayer CAPC1608X90X35LL10T15            182.8800     123.9520     90       "47nF 0603"                                                                                        
C11        47nF                                BottomLayer CAPC1608X90X35LL10T15            182.8800     128.2700     270      "47nF 0603"                                                                                        
C10        47nF                                BottomLayer CAPC1608X90X35LL10T15            183.1514     68.8051      0        "47nF 0603"                                                                                        
C8         47nF                                BottomLayer CAPC1608X90X35LL10T15            183.1340     73.7775      0        "47nF 0603"                                                                                        
R3         2K5                                 TopLayer    RESC1608X55X25NL10T15            124.8410     123.0630     270      "2.5K 0603"                                                                                        
TP33       "Test Point Pad"                    TopLayer    Test_Point_Pad                   172.7200     69.3420      90       "Test point, Pad, 28 mil"                                                                          
U9         MP8756GD-P                          TopLayer    QFN-12_MP8756_MNP                143.7790     75.3030      0        "No Description Available"                                                                         
R42        5K6                                 TopLayer    RESC1609X55X30LL15T15            145.0308     79.5020      90       "Chip Resistor, 5.6 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel" 
R41        41K2                                TopLayer    RESC1608X55X30LL20T20            143.5100     79.5020      90       "ERA3AEB4122V-41k2 0603"                                                                           
R40        3R3                                 TopLayer    RESC1608X55X30NL15T15            147.9550     77.7240      0        "ERJ-3RQF3R3V- 3R3 0603"                                                                           
R39        100K                                TopLayer    RESC1608X55X30ML15T15            142.4940     69.2150      270      "ERJ-3EKF1003V-100k 0603"                                                                          
R38        1M5                                 TopLayer    RESC1609X50X30NL10T20            140.9700     79.2480      315      "CRCW06031M50FKEA-1M5 0603"                                                                        
L1         IHLP2525CZER1R5M01                  TopLayer    FP-IHLP-2525CZ-FP_2_413x3-MFG    150.2410     72.3900      270      "Commercial Inductors, High Saturation Series 1.5uH 9A 15mO 20%"                                   
C73        1uF                                 TopLayer    FP-CC0603-DA-MFG                 144.2720     69.2150      90       "CC0603KRX7R7BB105-CAP CER 1UF 16V X7R 0603"                                                       
C72        0.1uF                               TopLayer    FP-CC0603-DA-MFG                 158.7883     68.5800      0        "CAP CER 0.1UF 50V X7R 0603"                                                                       
C71        0.1uF                               TopLayer    FP-CC0603-DA-MFG                 158.7883     70.9930      0        "CAP CER 0.1UF 50V X7R 0603"                                                                       
C70        0.1uF                               TopLayer    FP-CC0603-DA-MFG                 158.7883     73.4060      0        "CAP CER 0.1UF 50V X7R 0603"                                                                       
C69        22uF                                TopLayer    FP-CL10-IPC_B                    158.7883     75.5650      0        "Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R"                                             
C68        22uF                                TopLayer    FP-CL10-IPC_B                    158.0613     78.4860      90       "Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R"                                             
C67        22uF                                TopLayer    FP-CL10-IPC_B                    155.7753     78.4860      90       "Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R"                                             
C66        22uF                                TopLayer    FP-CL10-IPC_B                    153.4893     78.4860      90       "Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R"                                             
C65        220nF                               TopLayer    CAPC1608X87X35NL15T15            150.8760     77.7240      0        "C0603C224K8NACTU-220nF 0603"                                                                      
C64        22uF                                TopLayer    FP-CL10-IPC_B                    139.1000     76.6798      180      "Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R"                                             
C63        22uF                                TopLayer    FP-CL10-IPC_B                    139.1000     74.3938      180      "Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R"                                             
C62        0.1uF                               TopLayer    FP-CC0603-DA-MFG                 139.1000     72.2348      180      "CC0603KRX7R9BB104-CAP CER 0.1UF 50V X7R 0603"                                                     
TP35       "Test Point Pad"                    TopLayer    Test_Point_Pad                   140.4097     135.1280     90       "Test point, Pad, 28 mil"                                                                          
JMP2       TSW-103-07-L-S                      TopLayer    SMTC-TSW-103-07-X-S              122.6820     129.7940     90       "0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 3-Pin, Male, RoHS" 
