Altium Designer Pick and Place Locations
C:\Users\rylan\OneDrive\Documents\GitHub\TAUV-Hardware\TAUV- Powerboard_22-23\TAUV-Regulated_Power\Project Outputs for TAUV-Regulated_Power\Pick Place\Pick Place for TAUV-Regulated_Power_board.txt

========================================================================================================================
File Design Information:

Date:       10/06/23
Time:       21:19
Revision:   b0a3b08ce64bc0be812adbe94fc73da90d55da1b
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                        
JMP2       TSW-103-07-L-S                      TopLayer    SMTC-TSW-103-07-X-S              122.6820     129.7940     90       "0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 3-Pin, Male, RoHS" 
JMP1       TSW-103-07-L-S                      TopLayer    SMTC-TSW-103-07-X-S              125.2220     137.9220     180      "0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 3-Pin, Male, RoHS" 
J4         UMPT-04-01.5-L-V-S-W-TR             TopLayer    FP-UMPT-04-01_5-L-V-S-W-T-MFG    126.7300     90.3890      0        "CONN MPOWER 2MM MALE 4POS GOLD"                                                                   
TP29       "Test Point Pad"                    TopLayer    Test_Point_Pad                   172.0850     121.5390     90       "Test point, Pad, 28 mil"                                                                          
TP34       "Test Point Pad"                    TopLayer    Test_Point_Pad                   179.9590     122.5550     90       "Test point, Pad, 28 mil"                                                                          
TP33       "Test Point Pad"                    TopLayer    Test_Point_Pad                   156.4640     72.0090      90       "Test point, Pad, 28 mil"                                                                          
TP32       "Test Point Pad"                    TopLayer    Test_Point_Pad                   139.7000     99.1870      90       "Test point, Pad, 28 mil"                                                                          
TP31       "Test Point Pad"                    TopLayer    Test_Point_Pad                   103.3780     99.8220      90       "Test point, Pad, 28 mil"                                                                          
TP30       "Test Point Pad"                    TopLayer    Test_Point_Pad                   169.4180     106.0450     90       "Test point, Pad, 28 mil"                                                                          
TP28       "Test Point Pad"                    TopLayer    Test_Point_Pad                   153.7970     123.5710     90       "Test point, Pad, 28 mil"                                                                          
