;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,100000,20.3728,-3.44949
1,100231,-0.229332,-3.77189
2,100462,-0.225074,-3.89699
3,100694,-0.225266,-3.79074
4,100926,-0.226386,-3.83344
5,101159,-0.243387,-3.85726
6,101393,-0.236412,-3.89436
7,101627,-0.228103,-3.93655
8,101861,-0.233463,-3.87676
9,102096,-0.227137,-3.92533
10,102332,-0.236516,-3.84496
11,102568,-0.244107,-4.05355
12,102804,-0.234427,-3.93404
13,103042,-0.231809,-3.91778
14,103279,-0.231818,-3.9106
15,103518,-0.232424,-3.96605
16,103757,-0.235125,-4.01208
17,103996,-0.237515,-3.93027
18,104236,-0.246914,-3.94024
19,104477,-0.233847,-3.97452
20,104718,-0.229982,-3.95466
21,104959,-0.238964,-3.98921
22,105202,-0.234417,-4.04153
23,105444,-0.247139,-3.97962
24,105688,-0.232852,-3.97909
25,105931,-0.244197,-4.05344
26,106176,-0.244847,-4.14682
27,106421,-0.233145,-4.04043
28,106666,-0.243321,-4.10693
29,106913,-0.225881,-4.0202
30,107159,-0.242989,-4.10749
31,107407,-0.232945,-4.08786
32,107654,-0.239263,-4.0584
33,107903,-0.24062,-4.03387
34,108152,-0.236775,-4.00992
35,108401,-0.235753,-4.06812
36,108652,-0.230178,-4.04432
37,108902,-0.237238,-4.10832
38,109154,-0.244853,-4.14893
39,109405,-0.23462,-4.20018
40,109658,-0.245407,-4.13329
41,109911,-0.240314,-4.12929
42,110165,-0.243557,-4.15128
43,110419,-0.23437,-4.16075
44,110674,-0.233551,-4.13868
45,110929,-0.233732,-4.11117
46,111185,-0.243032,-4.15045
47,111442,-0.239057,-4.29311
48,111699,-0.24356,-4.24018
49,111956,-0.253878,-4.20412
50,112215,-0.242094,-4.2278
51,112474,-0.254111,-4.18901
52,112733,-0.246317,-4.2311
53,112993,-0.23492,-4.32137
54,113254,-0.242538,-4.30872
55,113515,-0.230596,-4.26478
56,113777,-0.241877,-4.24193
57,114040,-0.237073,-4.25973
58,114303,-0.247858,-4.35428
59,114567,-0.240588,-4.2852
60,114831,-0.246622,-4.26049
61,115096,-0.231293,-4.40173
62,115362,-0.249408,-4.36092
63,115628,-0.239014,-4.30957
64,115895,-0.247136,-4.23981
65,116162,-0.249277,-4.34291
66,116430,-0.239657,-4.37363
67,116699,-0.247744,-4.40272
68,116968,-0.241035,-4.42302
69,117238,-0.251195,-4.34317
70,117509,-0.253008,-4.45105
71,117780,-0.250241,-4.38779
72,118052,-0.242975,-4.42196
73,118324,-0.250582,-4.45152
74,118597,-0.243614,-4.42612
75,118871,-0.239589,-4.45419
76,119145,-0.251798,-4.4466
77,119420,-0.23729,-4.41031
78,119696,-0.261064,-4.47852
79,119972,-0.251574,-4.46593
80,120249,-0.240134,-4.45867
81,120526,-0.250725,-4.57992
82,120804,-0.234056,-4.54267
83,121083,-0.247153,-4.5392
84,121362,-0.236334,-4.56247
85,121642,-0.247771,-4.55112
86,121923,-0.245858,-4.58422
87,122204,-0.253318,-4.60128
88,122486,-0.260712,-4.55114
89,122769,-0.238015,-4.61072
90,123052,-0.25986,-4.6564
91,123336,-0.251037,-4.51929
92,123621,-0.247413,-4.67271
93,123906,-0.252042,-4.58454
94,124192,-0.253831,-4.54665
95,124479,-0.259839,-4.70159
96,124766,-0.254314,-4.67425
97,125054,-0.261742,-4.62746
98,125342,-0.255066,-4.65457
99,125632,-0.259365,-4.6462
100,125922,-0.250475,-4.72626
101,126212,-0.249803,-4.69085
102,126503,-0.260712,-4.74008
103,126795,-0.260737,-4.72612
104,127088,-0.250167,-4.76648
105,127381,-0.25828,-4.747
106,127675,-0.252475,-4.76372
107,127970,-0.257344,-4.70148
108,128265,-0.248478,-4.71424
109,128561,-0.261832,-4.77881
110,128858,-0.261559,-4.73514
111,129155,-0.251206,-4.87529
112,129453,-0.254009,-4.7895
113,129752,-0.254343,-4.79513
114,130051,-0.258196,-4.89753
115,130351,-0.258916,-4.85433
116,130652,-0.253194,-4.86059
117,130954,-0.25484,-4.816
118,131256,-0.260371,-4.85029
119,131559,-0.25174,-4.85515
120,131862,-0.251657,-4.94801
121,132166,-0.259209,-4.86871
122,132471,-0.26377,-4.99347
123,132777,-0.259434,-4.9146
124,133083,-0.253382,-4.94869
125,133391,-0.252861,-4.99471
126,133698,-0.259439,-4.98174
127,134007,-0.268863,-4.90826
128,134316,-0.251204,-4.90469
129,134626,-0.267514,-5.07351
130,134937,-0.26625,-5.01341
131,135248,-0.258539,-4.94422
132,135560,-0.261137,-4.94267
133,135873,-0.261179,-4.96509
134,136187,-0.256152,-4.94276
135,136501,-0.258424,-4.9929
136,136816,-0.261475,-5.01722
137,137131,-0.269291,-5.00647
138,137448,-0.257852,-5.10725
139,137765,-0.265154,-5.13173
140,138083,-0.253339,-5.19664
141,138402,-0.25907,-5.06344
142,138721,-0.258743,-5.04047
143,139041,-0.256459,-5.20077
144,139362,-0.253508,-5.16504
145,139684,-0.262398,-5.16359
146,140006,-0.263834,-5.07418
147,140329,-0.272018,-5.09186
148,140653,-0.262836,-5.13755
149,140977,-0.25753,-5.26165
150,141303,-0.25716,-5.16985
151,141629,-0.260635,-5.21405
152,141955,-0.270468,-5.16367
153,142283,-0.267141,-5.28928
154,142611,-0.259178,-5.22561
155,142940,-0.278125,-5.28218
156,143270,-0.265886,-5.30534
157,143601,-0.264469,-5.27301
158,143932,-0.271992,-5.3419
159,144264,-0.257919,-5.26834
160,144597,-0.274308,-5.3289
161,144931,-0.265901,-5.22014
162,145265,-0.272297,-5.29055
163,145601,-0.25776,-5.37768
164,145937,-0.271439,-5.37666
165,146273,-0.261997,-5.29779
166,146611,-0.267626,-5.34059
167,146949,-0.27201,-5.4245
168,147288,-0.277981,-5.37109
169,147628,-0.274092,-5.39862
170,147969,-0.271395,-5.47922
171,148310,-0.25855,-5.46593
172,148652,-0.279332,-5.46889
173,148996,-0.272818,-5.45994
174,149339,-0.25992,-5.43927
175,149684,-0.263877,-5.3979
176,150029,-0.275695,-5.48231
177,150376,-0.27433,-5.51839
178,150723,-0.283537,-5.58468
179,151070,-0.271602,-5.50295
180,151419,-0.263111,-5.56068
181,151768,-0.267041,-5.60916
182,152119,-0.272238,-5.58624
183,152470,-0.278261,-5.52695
184,152821,-0.262182,-5.65179
185,153174,-0.27845,-5.63235
186,153528,-0.279182,-5.62449
187,153882,-0.279115,-5.6394
188,154237,-0.281998,-5.67429
189,154593,-0.283384,-5.73308
190,154950,-0.277452,-5.67112
191,155307,-0.276625,-5.74041
192,155665,-0.283649,-5.71858
193,156025,-0.26744,-5.70791
194,156385,-0.27789,-5.77272
195,156746,-0.272071,-5.7851
196,157107,-0.278012,-5.69646
197,157470,-0.275336,-5.7735
198,157833,-0.269456,-5.85027
199,158197,-0.269355,-5.80632
200,158562,-0.276721,-5.83074
201,158928,-0.289841,-5.80338
202,159295,-0.282024,-5.82622
203,159663,-0.269693,-5.84755
204,160031,-0.268916,-5.96298
205,160400,-0.269687,-5.89584
206,160770,-0.272618,-5.90111
207,161141,-0.281156,-5.89841
208,161513,-0.265003,-6.02299
209,161886,-0.281547,-6.0043
210,162260,-0.274338,-5.89641
211,162634,-0.280076,-6.12376
212,163009,-0.27819,-5.91795
213,163385,-0.284828,-5.92381
214,163762,-0.284614,-6.00482
215,164140,-0.272517,-5.94085
216,164519,-0.263889,-6.03001
217,164899,-0.282405,-6.06401
218,165279,-0.287692,-6.06465
219,165661,-0.284921,-6.09709
220,166043,-0.273555,-6.07798
221,166426,-0.282717,-6.0681
222,166810,-0.269566,-6.15022
223,167195,-0.291984,-6.12061
224,167581,-0.285906,-6.17927
225,167967,-0.279873,-6.12281
226,168355,-0.292275,-6.08781
227,168744,-0.281104,-6.26109
228,169133,-0.292242,-6.20037
229,169523,-0.295613,-6.27865
230,169914,-0.291888,-6.10953
231,170307,-0.294348,-6.2823
232,170699,-0.288373,-6.2431
233,171093,-0.303489,-6.23397
234,171488,-0.296332,-6.31533
235,171884,-0.289544,-6.29918
236,172281,-0.29643,-6.25668
237,172678,-0.285231,-6.4008
238,173077,-0.289543,-6.45705
239,173476,-0.288454,-6.36849
240,173876,-0.291662,-6.38517
241,174277,-0.297774,-6.48346
242,174680,-0.284218,-6.39106
243,175083,-0.283578,-6.41427
244,175487,-0.292885,-6.55712
245,175892,-0.288151,-6.48349
246,176298,-0.28275,-6.39563
247,176704,-0.286814,-6.49351
248,177112,-0.281106,-6.59427
249,177521,-0.283331,-6.54488
250,177930,-0.279834,-6.54166
251,178341,-0.289381,-6.53793
252,178753,-0.272061,-6.53697
253,179165,-0.301088,-6.61123
254,179578,-0.30121,-6.63864
255,179993,-0.291685,-6.60407
256,180408,-0.274731,-6.57917
257,180824,-0.289624,-6.59642
258,181242,-0.307207,-6.64316
259,181660,-0.290525,-6.68938
260,182079,-0.28927,-6.67752
261,182499,-0.298385,-6.63327
262,182920,-0.290822,-6.77887
263,183343,-0.292828,-6.73638
264,183766,-0.297326,-6.62051
265,184190,-0.304247,-6.83915
266,184615,-0.305211,-6.70522
267,185041,-0.29254,-6.78813
268,185468,-0.291263,-6.71695
269,185896,-0.303812,-6.77204
270,186325,-0.302942,-6.86038
271,186755,-0.296888,-6.85605
272,187186,-0.315694,-6.8207
273,187617,-0.304371,-6.81637
274,188050,-0.308759,-6.87854
275,188484,-0.295388,-6.87905
276,188919,-0.322685,-6.9704
277,189355,-0.285735,-6.87497
278,189792,-0.309301,-6.99397
279,190230,-0.297066,-6.94021
280,190669,-0.305378,-6.89054
281,191109,-0.302687,-6.89036
282,191550,-0.311012,-6.99019
283,191992,-0.306223,-7.03172
284,192435,-0.292647,-7.10885
285,192879,-0.318538,-7.08788
286,193324,-0.309986,-6.9873
287,193770,-0.311054,-7.11434
288,194217,-0.323907,-7.0438
289,194666,-0.316108,-7.23608
290,195115,-0.300561,-7.11198
291,195565,-0.30298,-7.18178
292,196016,-0.306431,-7.16631
293,196469,-0.315698,-7.22766
294,196922,-0.290785,-7.21558
295,197376,-0.307219,-7.23558
296,197832,-0.308418,-7.23745
297,198288,-0.294509,-7.40942
298,198746,-0.324439,-7.29165
299,199205,-0.297513,-7.27991
300,199664,-0.316011,-7.30096
301,200125,-0.321588,-7.16335
302,200587,-0.32278,-7.33548
303,201050,-0.30491,-7.358
304,201514,-0.319805,-7.39607
305,201979,-0.313083,-7.41058
306,202445,-0.336114,-7.39376
307,202912,-0.30042,-7.41097
308,203380,-0.313532,-7.51269
309,203849,-0.318508,-7.51698
310,204320,-0.335094,-7.58917
311,204791,-0.317098,-7.68179
312,205264,-0.310561,-7.48488
313,205737,-0.306685,-7.51264
314,206212,-0.294641,-7.58604
315,206688,-0.325986,-7.67772
316,207165,-0.315233,-7.49205
317,207643,-0.31065,-7.69966
318,208122,-0.309185,-7.6741
319,208602,-0.306632,-7.56392
320,209084,-0.339147,-7.69793
321,209566,-0.322247,-7.75707
322,210050,-0.322016,-7.71914
323,210535,-0.316016,-7.88602
324,211020,-0.313332,-7.82043
325,211507,-0.327635,-7.75461
326,211995,-0.327546,-7.75663
327,212485,-0.316709,-7.83151
328,212975,-0.298365,-7.88836
329,213466,-0.339579,-7.79954
330,213959,-0.337608,-7.96426
331,214453,-0.318444,-7.8564
332,214947,-0.322423,-7.90572
333,215443,-0.337069,-8.07979
334,215941,-0.304394,-7.91419
335,216439,-0.334659,-8.09396
336,216938,-0.325506,-8.07246
337,217439,-0.361053,-8.11057
338,217941,-0.341745,-7.91249
339,218444,-0.343572,-8.15333
340,218948,-0.338101,-8.07437
341,219453,-0.330978,-8.14711
342,219959,-0.325315,-8.00953
343,220467,-0.359962,-8.24132
344,220976,-0.338125,-8.13912
345,221486,-0.333146,-8.29297
346,221997,-0.348343,-8.29342
347,222509,-0.37628,-8.30493
348,223022,-0.35761,-8.4876
349,223537,-0.351576,-8.37295
350,224053,-0.371798,-8.33652
351,224570,-0.386323,-8.2399
352,225088,-0.359491,-8.03796
353,225607,-0.366816,-7.94702
354,226128,-0.347017,-8.04764
355,226650,-0.341371,-8.13788
356,227173,-0.343927,-8.18954
357,227697,-0.356481,-8.12913
358,228222,-0.327529,-8.34167
359,228749,-0.345666,-8.2208
360,229277,-0.342705,-8.34586
361,229806,-0.335419,-8.35491
362,230336,-0.343339,-8.26947
363,230868,-0.355813,-8.56081
364,231401,-0.353212,-8.49807
365,231935,-0.332171,-8.48615
366,232470,-0.347378,-8.49649
367,233006,-0.321797,-8.64232
368,233544,-0.32461,-8.56287
369,234083,-0.355766,-8.47502
370,234623,-0.353012,-8.60697
371,235164,-0.350448,-8.61683
372,235707,-0.362356,-8.58006
373,236251,-0.366799,-8.75155
374,236796,-0.354633,-8.77143
375,237342,-0.343188,-8.76199
376,237890,-0.352453,-8.74754
377,238439,-0.331274,-8.7504
378,238989,-0.370458,-8.88075
379,239541,-0.361306,-8.74325
380,240093,-0.3555,-8.97729
381,240648,-0.354764,-8.90582
382,241203,-0.331588,-8.75202
383,241759,-0.33861,-9.05129
384,242317,-0.379585,-8.94975
385,242876,-0.36194,-8.97273
386,243437,-0.356111,-9.05199
387,243999,-0.391084,-9.04539
388,244562,-0.348959,-8.94378
389,245126,-0.354422,-8.97709
390,245692,-0.352427,-9.17447
391,246259,-0.362982,-9.13976
392,246827,-0.363972,-9.12763
393,247396,-0.324124,-9.18545
394,247967,-0.367662,-9.36737
395,248539,-0.38037,-9.19965
396,249113,-0.345854,-9.28427
397,249688,-0.360685,-9.37443
398,250264,-0.397044,-9.35409
399,250842,-0.350959,-9.23137
400,251420,-0.382135,-9.47321
401,252000,-0.385266,-9.32995
402,252582,-0.372861,-9.48224
403,253165,-0.391856,-9.27588
404,253749,-0.342709,-9.47309
405,254335,-0.386464,-9.59204
406,254921,-0.393111,-9.46355
407,255510,-0.390565,-9.53408
408,256099,-0.372532,-9.5333
409,256690,-0.360672,-9.78528
410,257283,-0.393295,-9.59443
411,257876,-0.388168,-9.58929
412,258471,-0.368815,-9.6135
413,259068,-0.377745,-9.77865
414,259666,-0.376187,-9.70221
415,260265,-0.353789,-9.6776
416,260865,-0.353699,-9.82976
417,261467,-0.383123,-9.92875
418,262071,-0.36215,-9.84336
419,262675,-0.379068,-9.91703
420,263282,-0.373911,-10.1696
421,263889,-0.400801,-10.1283
422,264498,-0.391818,-10.1098
423,265108,-0.395717,-10.1055
424,265720,-0.398766,-9.99182
425,266333,-0.390774,-10.1129
426,266948,-0.371455,-10.3527
427,267564,-0.428353,-10.0814
428,268181,-0.408076,-10.0818
429,268800,-0.397937,-10.1214
430,269420,-0.39702,-10.1959
431,270042,-0.401888,-10.2688
432,270665,-0.422616,-10.4374
433,271290,-0.426685,-10.3353
434,271916,-0.373301,-10.4318
435,272543,-0.381473,-10.2946
436,273172,-0.39884,-10.3423
437,273803,-0.397127,-10.432
