Altium Designer Pick and Place Locations
Y:\Documents\GitHub\TAUV-Hardware\TAUV- Powerboard_22-23\TAUV-Regulated_Power\Project Outputs for TAUV-Regulated_Power\Pick Place\Pick Place for TAUV-Regulated_Power_board.txt

========================================================================================================================
File Design Information:

Date:       06/04/23
Time:       12:28
Revision:   dc4325d74010a3a4dc79c65fb52fa301fe886b47
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                  
R29        CRCW08050000Z0EA                    TopLayer    RESC2013X50X30LL20T20            92.7100      71.1200      180      ""                                                                                           
R28        CRCW08050000Z0EA                    TopLayer    RESC2013X50X30LL20T20            92.7100      81.2800      180      ""                                                                                           
R27        CRCW08050000Z0EA                    TopLayer    RESC2013X50X30LL20T20            92.7100      78.7400      180      ""                                                                                           
R26        CRCW08050000Z0EA                    TopLayer    RESC2013X50X30LL20T20            92.7100      76.2000      180      ""                                                                                           
R25        CRCW08050000Z0EA                    TopLayer    RESC2013X50X30LL20T20            92.7100      73.6600      180      ""                                                                                           
R24        CRCW08050000Z0EA                    BottomLayer RESC2013X50X30LL20T20            92.7100      91.4400      180      ""                                                                                           
R23        CRCW0805160KFKEA                    BottomLayer FP-CRCW0805-e3-IPC_C             99.1808      70.3580      180      "RES Thick Film, 160kO, 1%, 0.125W, 100ppm/°C, 0805"                                         
R22        CRCW0805160KFKEA                    BottomLayer FP-CRCW0805-e3-IPC_C             99.1808      82.0420      180      "RES Thick Film, 160kO, 1%, 0.125W, 100ppm/°C, 0805"                                         
R21        CRCW0805160KFKEA                    BottomLayer FP-CRCW0805-e3-IPC_C             99.1808      76.2000      180      "RES Thick Film, 160kO, 1%, 0.125W, 100ppm/°C, 0805"                                         
R18        CRCW0805470KFKEA                    BottomLayer FP-CRCW0805-e3-IPC_C             99.1808      68.1990      180      "RES Thick Film, 470kO, 1%, 0.125W, 100ppm/°C, 0805"                                         
R17        CRCW0805470KFKEA                    BottomLayer FP-CRCW0805-e3-IPC_C             99.1808      79.8830      180      "RES Thick Film, 470kO, 1%, 0.125W, 100ppm/°C, 0805"                                         
R10        CRCW0805470KFKEA                    BottomLayer FP-CRCW0805-e3-IPC_C             99.1808      74.0410      180      "RES Thick Film, 470kO, 1%, 0.125W, 100ppm/°C, 0805"                                         
