Removed Member From Class: ClassName=C2_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=C3_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=C10_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=C11_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=C12_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=C13_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=Designator_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=P1_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=Q1_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=Q_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=R8_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=TP2_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=U2_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=U3_Nets Member=VCC_BATT_FILT_1
Removed Member From Class: ClassName=U4_Nets Member=VCC_BATT_FILT_1
Added Member To Class: ClassName=C14_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=C16_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=C18_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=Designator_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=L3_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=P2_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=R3_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=R13_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=TP10_Nets Member=Wire V5P0_Servo
Added Member To Class: ClassName=C15_Nets Member=Wire V5P0
Added Member To Class: ClassName=C17_Nets Member=Wire V5P0
Added Member To Class: ClassName=C19_Nets Member=Wire V5P0
Added Member To Class: ClassName=Designator_Nets Member=Wire V5P0
Added Member To Class: ClassName=L4_Nets Member=Wire V5P0
Added Member To Class: ClassName=P2_Nets Member=Wire V5P0
Added Member To Class: ClassName=R4_Nets Member=Wire V5P0
Added Member To Class: ClassName=R12_Nets Member=Wire V5P0
Added Member To Class: ClassName=TP9_Nets Member=Wire V5P0
Added Member To Class: ClassName=C2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C3_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C10_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C11_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C12_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=C13_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Designator_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=P1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Q1_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=Q_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=R8_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=TP2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=U2_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=U3_Nets Member=Wire VCC_BATT_FILT
Added Member To Class: ClassName=U4_Nets Member=Wire VCC_BATT_FILT
Added Room: Name=Designator
Added Room: Name=Designator
