Removed Pin From Net: NetName=VCC_BATT_FILT Pin=C60-2
Removed Pin From Net: NetName=V12P0_ARD Pin=C61-1
Removed Pin From Net: NetName=V3P3 Pin=JMP1-1
Removed Pin From Net: NetName=THRST_EN Pin=JMP1-2
Removed Pin From Net: NetName=GND Pin=JMP2-1
Removed Pin From Net: NetName=REED_P Pin=JMP2-2
Removed Pin From Net: NetName=V12P0_ARD Pin=R37-2
Removed Pin From Net: NetName=GND Pin=TB1-18
Removed Pin From Net: NetName=V12P0_ARD Pin=TP16-1
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=U1-1
Removed Pin From Net: NetName=V12P0_ARD Pin=U1-3
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Member From Class: ClassName=Designator Member=JMP1
Removed Member From Class: ClassName=Designator Member=JMP2
Removed Member From Class: ClassName=J2_Nets Member=MUX_S0
Removed Member From Class: ClassName=MUX_S0_Nets Member=MUX_S0
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S0
Removed Member From Class: ClassName=U5_Nets Member=MUX_S0
Removed Member From Class: ClassName=J2_Nets Member=MUX_S1
Removed Member From Class: ClassName=MUX_S1_Nets Member=MUX_S1
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S1
Removed Member From Class: ClassName=U5_Nets Member=MUX_S1
Removed Member From Class: ClassName=J2_Nets Member=MUX_S2
Removed Member From Class: ClassName=MUX_S2_Nets Member=MUX_S2
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S2
Removed Member From Class: ClassName=U5_Nets Member=MUX_S2
Removed Member From Class: ClassName=C61_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=R37_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=TP16_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=U1_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=C60_Nets Member=VCC_BATT_FILT
Removed Member From Class: ClassName=U1_Nets Member=VCC_BATT_FILT
Change Component Footprint: Designator=C60 Old Footprint=FP-C1608-080-0_1-IPC_A New Footprint=CAPC2013X145X50LL20T25
Change Component Footprint: Designator=U1 Old Footprint=TO-263_L New Footprint=32A_M
Change Component Comment : Designator=TP16 Old Comment= New Comment=Test Point Pad
Change Component Comment : Designator=C60 Old Comment=330nF New Comment=4.7uF
Change Component Comment : Designator=R37 Old Comment=681R New Comment=220R
Change Component Comment : Designator=U1 Old Comment=L7812ABD2T-TR New Comment=ATmega328P-AU
Change Component Kind : Designator=TB1 Old Kind=Standard New Kind=Standard (No BOM)
Change Managed Component Library Link : Designator=C60 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0E1FFC42-F177-4346-8D34-384284695200 New ItemGUID=0F103262-0BC7-4DBF-90F5-5535FBB26756 Old RevisionGUID=B30C0EEA-69EF-4835-B136-3FA067E00B7B New RevisionGUID=86CB5F9C-2FF9-44EE-87BB-692BABD83174
Change Managed Component Library Link : Designator=R37 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D5D24C98-CF8A-4954-9316-FFC3B219B35D New ItemGUID=65E29380-3414-4DF0-BB8B-D3A658E0A0DC Old RevisionGUID=6F85F0A3-4980-4E9F-9898-FB953BC416B3 New RevisionGUID=4B001B33-88E9-4237-8F82-5DB7581C1970
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=3A237323-EBFC-4277-8F16-D8A368BAA97E New ItemGUID=56502755-F026-40EB-BCF0-36AE7BFC5A49 Old RevisionGUID=0DE0A394-932F-4E97-9E36-09646DC2029C New RevisionGUID=240D5CCC-FCC4-45D4-8C62-91D49B903782
Change component parameters: Designator = "C60" ("C60"); Footprint = "FP-C1608-080-0_1-IPC_A"; UniqueID = "\HCTMQPSF\TWJTYZWD" ("\HCTMQPSF\TWJTYZWD")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "C0805C475M3PACTU"; VariantName = "[No Variations]"
Change component parameters: Designator = "R37" ("R37"); Footprint = "RESC0603(1608)_L"; UniqueID = "\HCTMQPSF\JCBONGYH" ("\HCTMQPSF\JCBONGYH")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "220.00 Ohm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "TO-263_L"; UniqueID = "\HCTMQPSF\HTTWUNJU" ("\HCTMQPSF\HTTWUNJU")
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MS-026-ABA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.atmel.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "ATmega48A/48PA/88A/88PA/168A/168PA/328/328P Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/doc8271.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "ATmega48A/48PA/88A/88PA/168A/168PA/328/328P Summary"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/8271S.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "revD, May-2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "32-Lead, 7x7x1.0 mm Body, 0.8mm Lead Pitch, Thin Profile Plastic Quad Flat Package (TQFP)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "32A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "revC, Oct-2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RevisionNote"; Value = "DatasheetVersion & PackageVersion updated. URLs added."; VariantName = "[No Variations]"
Added Component: Designator=C83(0603)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KA8NNNC/3886842"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "25 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Added Component: Designator=C84(0603)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KA8NNNC/3886842"; VariantName = "[No Variations]"
